Half,Time,William Peace,Davidson,William Peace Score,Davidson Score
2,5:55,,"SUB OUT by HURLBURT,JOE",46,77
2,5:55,,"SUB IN by GHEDINI,RICCARDO",46,77
2,5:55,"SUB OUT by MCBRIDE,DYLAN",,46,77
2,5:55,"SUB IN by GREEN,ELIJAH",,46,77
2,5:42,,"GOOD LAYUP by LOUGHNANE,MIKE",46,79
2,5:42,,"ASSIST by GHEDINI,RICCARDO",46,79
2,5:26,,"FOUL by ADAM,HUNTER",46,79
2,5:26,"SUB OUT by JONES,SHAWN",,46,79
2,5:26,"SUB OUT by EZEONU,CHUKS",,46,79
2,5:26,"SUB IN by YOUNG,IRWIN",,46,79
2,5:26,"SUB IN by CARUSO,SULLY",,46,79
2,5:10,"TURNOVER by CARUSO,SULLY",,46,79
2,5:10,,"STEAL by BLUMS,ROBERTS",46,79
2,5:05,,"GOOD DUNK by JOSES,MANIE",46,81
2,5:05,,"ASSIST by BLUMS,ROBERTS",46,81
2,4:52,,"FOUL by GHEDINI,RICCARDO",46,81
2,4:49,"TURNOVER by GREEN,ELIJAH",,46,81
2,4:49,,"STEAL by BLUMS,ROBERTS",46,81
2,4:40,,"GOOD LAYUP by BLUMS,ROBERTS",46,83
2,4:19,"MISS 3PTR by YOUNG,IRWIN",,46,83
2,4:16,,"REBOUND DEF by BLUMS,ROBERTS",46,83
2,4:02,,"MISS JUMPER by LOUGHNANE,MIKE",46,83
2,3:58,"REBOUND DEF by YOUNG,IRWIN",,46,83
2,3:52,,"FOUL by ADAM,HUNTER",46,83
2,3:52,Timeout,,46,83
2,3:52,,"SUB OUT by LOUGHNANE,MIKE",46,83
2,3:52,,"SUB OUT by ADAM,HUNTER",46,83
2,3:52,,"SUB OUT by BLUMS,ROBERTS",46,83
2,3:52,,"SUB IN by HURLBURT,JOE",46,83
2,3:52,,"SUB IN by KATSOCK,MICHAEL",46,83
2,3:52,,"SUB IN by MATHENY,BROCK",46,83
2,3:52,"SUB OUT by DULIN,MICHAEL",,46,83
2,3:52,"SUB OUT by GREEN,ELIJAH",,46,83
2,3:52,"SUB IN by WHITEHURST,TYLER",,46,83
2,3:52,"SUB IN by HODGSON,PARKER",,46,83
2,3:38,"MISS JUMPER by LOMINACK,RYAN",,46,83
2,3:34,"REBOUND OFF by WHITEHURST,TYLER",,46,83
2,3:23,"MISS 3PTR by WHITEHURST,TYLER",,46,83
2,3:19,,"REBOUND DEF by HURLBURT,JOE",46,83
2,3:08,,"MISS 3PTR by MATHENY,BROCK",46,83
2,3:05,"REBOUND DEF by YOUNG,IRWIN",,46,83
2,2:50,"TURNOVER by LOMINACK,RYAN",,46,83
2,2:50,,"SUB OUT by JOSES,MANIE",46,83
2,2:50,,"SUB IN by ZIMMERMAN,LUKE",46,83
2,2:25,,"GOOD JUMPER by KATSOCK,MICHAEL",46,85
2,2:13,"TURNOVER by HODGSON,PARKER",,46,85
2,2:13,"SUB OUT by LOMINACK,RYAN",,46,85
2,2:13,"SUB OUT by CARUSO,SULLY",,46,85
2,2:13,"SUB IN by CATHCART,ELIJAH",,46,85
2,2:13,"SUB IN by BALLOU,CONNOR",,46,85
2,1:55,,"MISS 3PTR by MATHENY,BROCK",46,85
2,1:53,"REBOUND DEF by HODGSON,PARKER",,46,85
2,1:49,,"FOUL by KATSOCK,MICHAEL",46,85
2,1:49,"GOOD FT by YOUNG,IRWIN",,47,85
2,1:49,"MISS FT by YOUNG,IRWIN",,47,85
2,1:49,,"REBOUND DEF by GHEDINI,RICCARDO",47,85
2,1:39,"FOUL by CATHCART,ELIJAH",,47,85
2,1:39,,"MISS FT by HURLBURT,JOE",47,85
2,1:39,,REBOUND DEADB by TEAM,47,85
2,1:39,,"GOOD FT by HURLBURT,JOE",47,86
2,1:39,"SUB OUT by WHITEHURST,TYLER",,47,86
2,1:39,"SUB IN by HARTZELL,JACKSON",,47,86
2,1:28,"TURNOVER by HODGSON,PARKER",,47,86
2,1:19,,"GOOD LAYUP by GHEDINI,RICCARDO",47,88
2,1:03,"MISS 3PTR by CATHCART,ELIJAH",,47,88
2,0:59,,"REBOUND DEF by GHEDINI,RICCARDO",47,88
2,0:48,,"MISS 3PTR by GHEDINI,RICCARDO",47,88
2,0:45,"REBOUND DEF by HARTZELL,JACKSON",,47,88
2,0:31,"MISS 3PTR by CATHCART,ELIJAH",,47,88
2,0:26,,"REBOUND DEF by GHEDINI,RICCARDO",47,88
2,0:02,,"MISS 3PTR by MATHENY,BROCK",47,88
2,0:00,REBOUND DEF by TEAM,,47,88
